stud_id,name,gender,age,height,weight,religion,nc_score,semester,major,minor,score1,score2,online_tutorial,graduated,salary
689045,"Kim, Eaba",Male,20,181,80.0,Other,2.83,2nd,Mathematics and Statistics,Environmental Sciences,,,0,0,
706060,"Miranda Quintero, Olivia",Female,20,158,60.6,Orthodox,1.46,4th,Social Sciences,Biology,43.0,52.0,1,0,
168184,"Briseno, Davie",Male,23,177,79.4,Muslim,2.02,4th,Mathematics and Statistics,Social Sciences,93.0,87.0,1,1,39342.52
890431,"Garcia, Kush",Male,18,169,73.8,Catholic,1.41,5th,Mathematics and Statistics,Social Sciences,78.0,90.0,1,0,
345772,"Chandramouli, Nelson",Male,19,176,76.4,Orthodox,2.56,2nd,Environmental Sciences,Political Science,,,0,0,
167649,"Edwards, Linh",Female,21,166,64.3,Protestant,1.99,1st,Biology,Economics and Finance,,,0,0,
372924,"Cook, Macallyson",Female,23,173,71.6,Protestant,1.41,3rd,Biology,Political Science,80.0,79.0,1,0,
925122,"Jones, Kianna",Female,22,168,72.8,Catholic,2.48,1st,Mathematics and Statistics,Economics and Finance,,,0,0,
525832,"Patterson, Luna",Female,21,155,61.7,Protestant,1.65,2nd,Biology,Political Science,,,0,0,
173174,"Butler, Courtney",Female,21,173,71.2,Other,2.65,6th,Social Sciences,Economics and Finance,49.0,41.0,0,1,28128.37
336025,"Lobato, Allan",Male,21,177,73.3,Other,1.57,5th,Mathematics and Statistics,Biology,89.0,91.0,1,1,36204.3
834732,"Iturralde, Azalia",Female,21,176,78.6,Other,2.71,4th,Environmental Sciences,Biology,68.0,76.0,1,0,
657755,"Cowans, Tylar",Male,22,190,89.8,Catholic,2.9,>6th,Economics and Finance,Social Sciences,64.0,67.0,1,1,35881.21
480514,"Feseha, Armando",Male,25,190,86.5,Muslim,2.51,1st,Social Sciences,Mathematics and Statistics,,,0,0,
903623,"Tan, Jaylon",Male,20,174,72.1,Protestant,2.13,6th,Mathematics and Statistics,Political Science,95.0,91.0,1,0,
751288,"John III, Ryan",Male,18,183,81.4,Catholic,1.84,2nd,Environmental Sciences,Political Science,,,0,0,
869008,"Geathers, Tristan",Female,24,162,62.4,Catholic,1.21,4th,Biology,Social Sciences,79.0,76.0,0,0,
644929,"Hepler, Eduardo",Male,22,173,77.4,Protestant,1.25,4th,Biology,Social Sciences,82.0,80.0,1,0,
638567,"Wong, Tyler",Male,20,192,89.4,Catholic,2.3,5th,Environmental Sciences,Social Sciences,75.0,79.0,1,0,
856894,"Messenger, Amber",Female,21,164,66.4,Other,2.05,5th,Political Science,Biology,58.0,63.0,1,1,39451.47
730300,"Nakarmi Dhital, Derek",Male,20,192,92.6,Other,3.07,6th,Political Science,Social Sciences,47.0,54.0,1,1,20511.15
842122,"Aguilar, Anessa",Female,18,155,62.6,Protestant,1.32,3rd,Political Science,Mathematics and Statistics,61.0,63.0,1,0,
484187,"Hatt, Micah",Female,18,176,74.3,Other,2.46,2nd,Political Science,Biology,,,0,0,
867020,"Cao, Jayson",Male,19,168,68.1,Other,2.04,2nd,Mathematics and Statistics,Social Sciences,,,0,0,
582922,"Valenciano-Poffenbarger, Quincie",Female,19,175,76.8,Catholic,2.19,1st,Social Sciences,Mathematics and Statistics,,,0,0,
342378,"Perkins, Janelle",Female,22,156,67.5,Catholic,1.91,4th,Environmental Sciences,Political Science,67.0,70.0,1,0,
872184,"Carrethers, Michelle",Female,22,163,67.1,Other,1.49,1st,Environmental Sciences,Mathematics and Statistics,,,0,0,
624517,"Vang, Xavier",Male,25,172,75.8,Catholic,2.53,2nd,Economics and Finance,Social Sciences,,,0,0,
575105,"Jones, Lauren",Female,23,166,63.3,Protestant,3.52,2nd,Social Sciences,Mathematics and Statistics,,,0,0,
217305,"O'Connor, Kalan",Male,20,168,68.4,Catholic,1.14,1st,Biology,Economics and Finance,,,0,0,
266056,"Hogan, Kolton",Male,22,170,72.0,Other,1.09,3rd,Economics and Finance,Biology,62.0,65.0,1,0,
587863,"Langseth, Alyssa",Female,19,155,62.9,Protestant,1.07,2nd,Political Science,Social Sciences,,,0,0,
811991,"Knox, Andrew",Male,21,174,75.4,Other,1.08,2nd,Political Science,Economics and Finance,,,0,0,
236422,"Gozeh, Exar",Male,22,164,67.6,Other,2.67,1st,Economics and Finance,Social Sciences,,,0,0,
720268,"Kwon, Cody",Male,18,178,76.3,Catholic,1.42,1st,Biology,Economics and Finance,,,0,0,
401632,"Littles, Claire",Female,20,168,68.6,Catholic,2.01,2nd,Social Sciences,Biology,,,0,0,
567656,"Humphrey, Mikenna",Female,23,160,65.1,Catholic,1.18,2nd,Political Science,Environmental Sciences,,,0,0,
303723,"Ditzler, Jared",Male,21,187,89.4,Catholic,2.22,6th,Mathematics and Statistics,Environmental Sciences,90.0,91.0,1,1,58080.5
502096,"Depalma, Courtney",Female,19,153,58.4,Protestant,2.37,1st,Biology,Economics and Finance,,,0,0,
671921,"Pinnecoose, Jason",Male,21,187,85.3,Other,1.35,2nd,Mathematics and Statistics,Biology,,,0,0,
369102,"O'Blia, Brianna",Female,21,173,70.2,Other,3.08,3rd,Political Science,Mathematics and Statistics,64.0,59.0,0,0,
298926,"Mercier, Sophia",Female,20,156,68.6,Muslim,1.36,1st,Social Sciences,Environmental Sciences,,,0,0,
800743,"Aerts, Jaitaya",Female,21,162,63.4,Protestant,1.83,2nd,Biology,Environmental Sciences,,,0,0,
306757,"Aguirre, Karla",Female,24,166,68.3,Orthodox,1.24,1st,Biology,Economics and Finance,,,0,0,
408737,"Garcia, Octiavia",Female,22,165,69.3,Catholic,3.74,2nd,Social Sciences,Mathematics and Statistics,,,0,0,
159105,"Boone, Ishi",Male,22,172,75.4,Catholic,1.84,6th,Environmental Sciences,Political Science,74.0,71.0,0,1,34190.68
131435,"Brown, Dmitriy",Male,23,172,72.5,Other,2.33,4th,Political Science,Environmental Sciences,56.0,44.0,0,1,44027.97
420250,"Hall, Zachary",Male,18,178,74.3,Protestant,3.3,>6th,Economics and Finance,Mathematics and Statistics,73.0,63.0,1,1,51564.04
734612,"Noy, Damian",Male,24,179,77.5,Catholic,2.76,5th,Biology,Economics and Finance,82.0,84.0,1,1,51223.0
255675,"Hill, Stephanie",Female,21,173,73.4,Catholic,2.04,2nd,Political Science,Economics and Finance,,,0,0,
845929,"Coronado Garcia, Samantha",Female,23,166,68.5,Other,1.82,1st,Social Sciences,Environmental Sciences,,,0,0,
323852,"Wilson, Kala",Female,21,172,73.2,Catholic,1.54,2nd,Biology,Social Sciences,,,0,0,
356446,"Yoo, Gerald",Male,25,172,73.9,Other,2.51,1st,Mathematics and Statistics,Political Science,,,0,0,
531965,"Trejo, K'Ara",Female,18,159,68.6,Catholic,1.95,1st,Political Science,Mathematics and Statistics,,,0,0,
977262,"Avorque, Eduardo",Male,24,179,71.8,Orthodox,1.38,3rd,Environmental Sciences,Biology,72.0,74.0,1,0,
931933,"Hoang, Christopher",Male,19,164,65.4,Catholic,1.28,6th,Biology,Environmental Sciences,75.0,77.0,1,1,49476.01
911287,"Rangel, Ahbreyonna",Female,23,160,65.2,Catholic,2.28,4th,Political Science,Environmental Sciences,57.0,43.0,0,1,37809.76
317936,"Colombo-Davis, Joel",Male,22,180,78.9,Other,1.51,1st,Biology,Economics and Finance,,,0,0,
967258,"Diaz, Alysia",Female,22,158,59.0,Catholic,1.68,3rd,Biology,Mathematics and Statistics,75.0,68.0,0,0,
984457,"Chong, Elier",Male,20,171,70.2,Other,2.69,6th,Biology,Economics and Finance,78.0,80.0,1,0,
575781,"Bustos, Lauren",Female,23,162,67.4,Catholic,1.51,2nd,Environmental Sciences,Social Sciences,,,0,0,
822891,"Rico, Briana",Female,24,156,61.1,Protestant,2.3,3rd,Political Science,Mathematics and Statistics,51.0,55.0,1,0,
587981,"Cordova, Stephen",Male,20,189,87.1,Other,2.19,6th,Mathematics and Statistics,Political Science,85.0,89.0,0,1,56996.09
869698,"Myers, Allison",Female,28,166,66.2,Other,1.69,2nd,Environmental Sciences,Biology,,,0,0,
112667,"Phantharangsy, Jonathan",Male,21,172,72.7,Other,1.62,5th,Social Sciences,Environmental Sciences,44.0,47.0,0,0,
763933,"Lynn, Brandon",Male,22,180,78.5,Other,3.91,>6th,Biology,Environmental Sciences,73.0,82.0,0,1,46242.93
175660,"Dickinson, Tyran",Male,21,184,84.3,Protestant,1.46,2nd,Environmental Sciences,Mathematics and Statistics,,,0,0,
772838,"Garcia, Jazzmine",Female,19,148,64.8,Orthodox,2.33,1st,Political Science,Mathematics and Statistics,,,0,0,
954935,"Wilson, Kyla",Female,22,161,61.1,Other,3.2,3rd,Environmental Sciences,Political Science,72.0,72.0,0,0,
154015,"Burkley, Layhat",Female,28,164,68.1,Orthodox,1.86,4th,Environmental Sciences,Social Sciences,75.0,69.0,0,0,
491556,"Campbell, Sean",Male,19,185,88.9,Other,3.45,2nd,Political Science,Social Sciences,,,0,0,
807518,"Alkarim, Dwight",Male,20,171,75.6,Muslim,1.8,6th,Political Science,Environmental Sciences,46.0,59.0,0,1,42064.68
563504,"Kawamura, Marquise",Male,19,175,78.9,Catholic,1.24,6th,Economics and Finance,Political Science,62.0,75.0,0,0,
799976,"Rodriguez, Paola",Female,19,156,60.4,Other,1.95,6th,Environmental Sciences,Mathematics and Statistics,72.0,73.0,1,0,
846926,"Carrasco-Meraz, Toni",Female,21,162,68.6,Catholic,3.76,4th,Social Sciences,Mathematics and Statistics,47.0,43.0,0,0,
952145,"Gudgel, Marissa",Female,20,168,63.3,Catholic,1.05,2nd,Environmental Sciences,Mathematics and Statistics,,,0,0,
956964,"El-Meniawi, Francesca",Female,37,160,68.1,Protestant,1.56,1st,Biology,Political Science,,,0,0,
406073,"Hong, Cleevens",Male,20,171,73.1,Muslim,2.02,2nd,Mathematics and Statistics,Social Sciences,,,0,0,
468956,"Matsumura, Deon",Male,43,180,76.8,Other,2.84,3rd,Economics and Finance,Political Science,67.0,66.0,1,0,
363320,"Lucero, Kennah",Female,22,172,71.9,Protestant,1.44,3rd,Political Science,Environmental Sciences,57.0,66.0,1,0,
599350,"Ramos, Christa",Female,57,156,61.6,Protestant,3.15,2nd,Environmental Sciences,Political Science,,,0,0,
548177,"Woodard, Aaron",Male,21,172,72.0,Catholic,3.67,5th,Mathematics and Statistics,Political Science,91.0,94.0,1,1,41618.86
604302,"Tom, Samuel",Male,22,187,88.1,Other,2.4,5th,Environmental Sciences,Biology,71.0,69.0,1,1,39037.89
233689,"Bottorff, Khoa",Male,21,177,76.1,Protestant,1.04,1st,Environmental Sciences,Mathematics and Statistics,,,0,0,
564694,"Fernandes, Yasmeen",Female,22,163,69.7,Muslim,1.19,4th,Social Sciences,Environmental Sciences,49.0,51.0,1,1,23717.36
356008,"Brink, Dominic",Male,18,190,91.4,Catholic,1.64,5th,Environmental Sciences,Political Science,79.0,83.0,1,1,43332.84
746195,"Truong, Jerome",Male,20,177,73.9,Other,1.73,1st,Environmental Sciences,Biology,,,0,0,
648504,"Sheard, Guadalupe",Female,19,164,65.2,Catholic,3.57,3rd,Political Science,Mathematics and Statistics,55.0,62.0,1,0,
299293,"Rowlett, Kiah",Female,25,155,60.6,Muslim,1.74,1st,Environmental Sciences,Political Science,,,0,0,
609448,"Kiepprien, Amy",Female,21,150,62.3,Other,2.7,2nd,Social Sciences,Environmental Sciences,,,0,0,
788002,"Valencia, Jessica",Female,19,152,61.1,Other,3.1,2nd,Biology,Political Science,,,0,0,
353537,"Grubin-Andresen, Desiree",Female,22,176,74.9,Other,1.03,1st,Biology,Political Science,,,0,0,
595769,"O'Hearon, Rio",Female,19,164,71.4,Protestant,2.23,4th,Biology,Economics and Finance,78.0,77.0,0,1,39587.61
476989,"Aguirre, Yadira",Female,22,155,66.5,Other,1.32,4th,Social Sciences,Mathematics and Statistics,39.0,42.0,0,0,
342344,"Broomfield, Lily",Female,19,181,82.1,Catholic,1.64,1st,Biology,Environmental Sciences,,,0,0,
343028,"Martinez, Beatriz",Female,19,156,66.9,Other,2.83,2nd,Environmental Sciences,Biology,,,0,0,
777815,"Diaz Daughtry, Jorge",Male,22,168,66.3,Other,3.54,>6th,Biology,Environmental Sciences,80.0,72.0,0,1,64486.41
308216,"Johnson, Nathaniel",Male,21,192,94.1,Catholic,2.28,2nd,Environmental Sciences,Biology,,,0,0,
896911,"Tran, Markel",Male,19,184,81.4,Orthodox,1.49,1st,Political Science,Mathematics and Statistics,,,0,0,
677610,"Bharatee, Martin",Male,22,188,85.7,Protestant,1.47,4th,Environmental Sciences,Economics and Finance,65.0,71.0,1,0,
277382,"Singh, Keegen",Male,19,178,75.7,Protestant,2.97,3rd,Mathematics and Statistics,Biology,86.0,86.0,0,0,
970655,"Roth, Jessica",Female,21,152,59.4,Catholic,2.97,2nd,Economics and Finance,Biology,,,0,0,
361780,"Castorena, Jael",Female,24,156,66.7,Catholic,3.39,1st,Political Science,Mathematics and Statistics,,,0,0,
701607,"San Miguel, Brianna",Female,22,172,69.4,Protestant,2.98,1st,Social Sciences,Political Science,,,0,0,
650214,"Love, Kaylee",Female,24,161,67.1,Other,1.4,4th,Mathematics and Statistics,Social Sciences,89.0,85.0,0,0,
613490,"Morris, Jerry",Male,19,177,72.8,Protestant,1.23,3rd,Mathematics and Statistics,Social Sciences,79.0,92.0,0,0,
176939,"Didario, Evan",Male,22,180,78.0,Other,2.4,3rd,Political Science,Mathematics and Statistics,46.0,58.0,1,0,
409506,"Tharpe, Chet",Male,21,164,66.0,Protestant,1.79,2nd,Mathematics and Statistics,Economics and Finance,,,0,0,
830130,"Donaldson, John",Male,20,169,65.3,Other,3.58,1st,Social Sciences,Environmental Sciences,,,0,0,
941953,"Laidman, Jessica",Female,19,158,62.3,Catholic,3.45,1st,Social Sciences,Economics and Finance,,,0,0,
978652,"Stratton, Jessica",Female,20,146,59.7,Protestant,3.28,5th,Environmental Sciences,Political Science,70.0,67.0,0,0,
414240,"Mian, Jacob",Male,22,173,70.1,Catholic,2.93,4th,Economics and Finance,Mathematics and Statistics,71.0,79.0,1,0,
808435,"Coreau, Sergei",Male,19,166,65.7,Protestant,1.12,2nd,Biology,Social Sciences,,,0,0,
625895,"Sanchez, Maribel",Female,21,165,62.2,Catholic,2.66,5th,Environmental Sciences,Mathematics and Statistics,72.0,77.0,1,0,
390559,"Daughtry, Emily",Female,19,167,71.0,Other,2.78,4th,Biology,Economics and Finance,78.0,83.0,1,1,45504.19
612668,"Martinez, Ruby",Female,20,143,58.7,Other,3.97,4th,Political Science,Mathematics and Statistics,55.0,64.0,0,1,30611.51
723778,"Delarosa, Hunter",Male,19,182,80.2,Catholic,2.57,1st,Political Science,Mathematics and Statistics,,,0,0,
364492,"Burns, Tuyet",Female,22,161,65.7,Other,2.34,4th,Political Science,Biology,57.0,53.0,0,0,
586733,"Montes, Dakota",Female,19,174,74.2,Catholic,3.55,1st,Social Sciences,Biology,,,0,0,
936532,"Vigil, Darias",Male,21,189,89.7,Protestant,2.63,3rd,Biology,Social Sciences,78.0,85.0,1,0,
792941,"Ramirez, Chamera",Female,23,161,68.9,Orthodox,1.21,4th,Political Science,Economics and Finance,57.0,54.0,0,0,
861534,"Tran, La'Quan",Male,22,176,73.9,Catholic,1.24,1st,Political Science,Environmental Sciences,,,0,0,
728141,"Mcdonald, Ariana",Female,21,152,63.6,Protestant,1.83,5th,Biology,Social Sciences,72.0,86.0,1,1,39368.9
183489,"Sloan, David",Male,24,175,71.0,Other,1.34,2nd,Biology,Social Sciences,,,0,0,
369866,"Xiong, Pablo",Male,20,165,69.3,Protestant,1.87,1st,Environmental Sciences,Economics and Finance,,,0,0,
168476,"Young, Mikal",Male,22,174,74.9,Catholic,1.76,6th,Economics and Finance,Political Science,65.0,65.0,0,1,43379.78
724925,"Lucero, Jasmine",Female,21,162,65.3,Other,3.33,1st,Mathematics and Statistics,Biology,,,0,0,
350299,"Briones, Jordon",Male,24,160,63.0,Protestant,4.0,1st,Social Sciences,Political Science,,,0,0,
